timestamp,open,high,low,close,volume
1661472000000,35.26,35.79,31.36,31.72,5268727.97
1661558400000,31.72,32.25,30.86,31.53,3025394.15
1661644800000,31.53,32.21,30.19,30.44,2245087.33
1661731200000,30.43,32.64,30.0,32.42,3758900.71
1661817600000,32.42,33.16,30.64,31.47,3466845.37
1661904000000,31.47,32.95,31.18,31.5,2705795.29
1661990400000,31.49,31.79,30.44,31.61,2304167.56
1662076800000,31.61,32.38,30.76,31.23,2327194.21
1662163200000,31.23,31.29,30.8,31.12,773414.2
1662249600000,31.11,32.2,31.02,32.16,1302960.75
1662336000000,32.17,32.5,31.15,32.18,1545295.72
1662422400000,32.17,33.9,30.44,30.88,4663061.68
1662508800000,30.88,32.94,30.31,32.69,2516005.51
1662595200000,32.7,33.98,31.97,33.61,3062370.54
1662681600000,33.62,35.96,33.59,34.67,3748304.0
1662768000000,34.68,35.41,34.27,35.03,1977630.96
1662854400000,35.04,36.0,34.04,34.99,1999936.19
1662940800000,34.99,38.39,34.4,37.44,5186842.63
1663027200000,37.44,39.01,32.93,33.0,6401715.44
1663113600000,33.0,34.35,32.67,34.12,3170484.22
1663200000000,34.12,34.84,32.42,33.07,3696318.23
1663286400000,33.08,33.26,31.5,32.25,2180222.56
1663372800000,32.25,33.89,32.23,33.68,1414903.11
1663459200000,33.69,33.99,30.86,31.1,2299068.39
1663545600000,31.1,33.08,30.5,32.62,3503472.34
1663632000000,32.63,32.88,31.29,31.41,2558791.65
1663718400000,31.42,33.48,30.01,30.65,4545539.08
1663804800000,30.65,32.87,30.59,32.43,2975325.9
1663891200000,32.43,33.98,31.2,33.66,3481076.73
1663977600000,33.67,34.79,33.14,33.38,3102314.35
1664064000000,33.39,34.05,31.87,32.34,1838509.33
1664150400000,32.33,33.95,31.87,33.88,3284142.93
1664236800000,33.89,35.41,32.08,32.69,4411114.63
1664323200000,32.68,33.81,31.65,33.22,3091106.5
1664409600000,33.23,34.42,32.65,33.93,2735381.21
1664496000000,33.94,35.22,32.62,33.25,4264290.42
1664582400000,33.25,33.25,32.34,32.44,1458835.24
1664668800000,32.44,33.0,31.9,32.06,1472849.24
1664755200000,32.06,33.27,31.73,32.89,1890470.2
1664841600000,32.9,34.4,32.84,34.09,1949740.88
1664928000000,34.1,34.37,33.18,34.04,1777550.81
1665014400000,34.04,34.5,33.23,33.36,1799751.22
1665100800000,33.35,33.76,32.43,32.98,1963117.82
1665187200000,32.98,33.08,32.35,32.58,785559.59
1665273600000,32.57,33.14,32.44,32.92,883235.74
1665360000000,32.92,33.46,31.88,31.96,1554680.4
1665446400000,31.95,31.96,30.42,30.8,1923666.97
1665532800000,30.8,31.55,30.67,31.16,1048211.96
1665619200000,31.15,31.21,27.87,30.49,4402648.71
1665705600000,30.48,31.98,29.62,30.0,2384103.67
1665792000000,30.0,30.2,29.42,29.59,1009243.59
1665878400000,29.59,30.53,29.56,30.17,934949.4
1665964800000,30.16,31.29,29.84,31.21,1694429.96
1666051200000,31.22,31.48,29.73,30.15,1966281.14
1666137600000,30.14,30.26,28.61,28.86,1713727.76
1666224000000,28.86,29.47,27.98,28.01,2379315.87
1666310400000,28.01,28.28,26.84,28.1,3208878.96
1666396800000,28.1,28.22,27.48,28.01,1333382.63
1666483200000,28.01,29.44,27.73,29.28,2150824.0
1666569600000,29.28,29.5,28.16,28.3,2525864.52
1666656000000,28.31,32.31,28.05,30.86,4389638.87
1666742400000,30.87,32.17,30.63,31.29,3909684.74
1666828800000,31.29,32.36,30.41,30.58,3608322.35
1666915200000,30.6,32.54,30.11,32.07,3017472.57
1667001600000,32.06,33.84,31.85,32.87,3316674.09
1667088000000,32.87,33.54,31.93,32.94,1962511.76
1667174400000,32.93,34.39,32.2,32.56,3082485.07
1667260800000,32.57,33.39,32.15,32.2,2015730.52
1667347200000,32.2,32.95,30.24,30.8,3423829.13
1667433600000,30.81,32.25,30.61,30.85,2302866.46
1667520000000,30.86,34.2,30.66,33.74,4106770.6
1667606400000,33.73,38.79,33.66,36.9,7466083.52
1667692800000,36.9,37.06,32.31,32.62,4722074.05
1667779200000,32.61,33.13,28.0,29.62,9810937.64
1667865600000,29.62,31.72,19.8,24.38,28156844.019
1667952000000,24.38,24.38,12.37,14.08,34965021.076
1668038400000,14.08,18.87,13.14,17.66,31278279.25
1668124800000,17.65,18.31,15.1,16.45,16952323.15
1668211200000,16.46,16.53,14.47,14.58,6958266.14
1668297600000,14.58,14.74,13.02,13.18,7632404.82
1668384000000,13.18,15.01,12.07,14.0,12412181.95
1668470400000,14.0,15.1,13.82,14.32,7666656.34
1668556800000,14.32,14.64,13.64,14.27,4117412.48
1668643200000,14.27,14.5,12.93,13.65,6589277.99
1668729600000,13.65,13.89,13.0,13.27,2949495.18
1668816000000,13.28,13.28,12.58,12.84,2920148.22
1668902400000,12.84,13.58,12.1,12.27,4790066.03
1668988800000,12.26,12.29,11.27,11.83,4921177.259
1669075200000,11.83,12.5,10.94,12.44,5495351.55
1669161600000,12.43,14.5,12.4,14.36,7872882.42
1669248000000,14.36,14.96,13.84,14.59,4725295.69
1669334400000,14.6,14.61,13.91,14.03,2819515.28
1669420800000,14.03,14.98,13.97,14.17,2911827.78
1669507200000,14.17,14.45,14.05,14.12,2063327.08
1669593600000,14.11,14.17,12.78,13.32,4718682.44
1669680000000,13.33,13.96,13.14,13.34,2605636.41
1669766400000,13.35,14.32,13.21,14.16,3599962.88
1669852800000,14.17,14.19,13.4,13.51,2567835.92
1669939200000,13.51,13.84,13.33,13.71,2865008.71
1670025600000,13.71,13.77,13.2,13.29,1958859.38
1670112000000,13.29,13.75,13.27,13.71,1778118.75
1670198400000,13.71,14.17,13.58,13.82,3962489.89
1670284800000,13.82,14.38,13.81,14.3,3280084.71
1670371200000,14.3,14.34,13.39,13.49,2647330.66
1670457600000,13.49,13.77,13.27,13.69,2218371.02
1670544000000,13.69,14.02,13.51,13.59,2597941.96
1670630400000,13.58,13.73,13.54,13.58,950118.11
1670716800000,13.58,13.8,13.39,13.42,1210234.56
1670803200000,13.42,13.5,12.82,13.31,2644017.08
1670889600000,13.31,14.15,12.76,13.89,3963954.49
1670976000000,13.9,14.96,13.81,14.12,5084591.13
1671062400000,14.12,14.52,13.86,14.04,2711381.25
1671148800000,14.05,14.17,12.0,12.25,4522833.23
1671235200000,12.25,12.6,11.92,12.51,2465880.45
1671321600000,12.5,12.6,12.25,12.38,1358593.49
1671408000000,12.38,12.59,11.66,11.94,2385052.59
1671494400000,11.94,12.49,11.84,12.26,1699256.37
1671580800000,12.26,12.29,11.9,12.14,1549774.66
1671667200000,12.14,12.19,11.67,11.82,1805407.09
1671753600000,11.81,12.11,11.72,11.78,1647382.32
1671840000000,11.79,11.79,11.07,11.45,2286878.14
1671926400000,11.45,11.56,11.24,11.38,916417.64
1672012800000,11.39,11.49,11.06,11.32,1613225.82
1672099200000,11.33,11.44,10.71,11.09,3052197.59
1672185600000,11.1,11.12,9.39,9.76,7362205.181
1672272000000,9.76,10.89,8.0,9.64,12093989.53
1672358400000,9.64,10.26,9.0,9.9,12587079.51
1672444800000,9.91,10.2,9.66,9.97,3621434.65
1672531200000,9.97,10.09,9.69,9.99,2287512.63
1672617600000,9.99,12.0,9.81,11.28,7628264.93
1672704000000,11.28,13.91,11.0,13.37,14986491.36
1672790400000,13.37,14.24,12.83,13.43,12612735.49
1672876800000,13.43,13.89,12.95,13.43,5834353.76
1672963200000,13.43,13.6,12.69,13.5,5404648.48
1673049600000,13.51,13.51,13.01,13.1,1904950.91
1673136000000,13.1,14.89,12.85,14.45,6295596.12
1673222400000,14.46,17.5,14.28,16.25,19481959.57
1673308800000,16.25,16.73,15.57,16.2,8489417.77
1673395200000,16.2,16.67,15.28,16.36,6661616.67
1673481600000,16.37,17.0,15.54,16.59,9608670.96
1673568000000,16.59,18.65,16.29,18.29,10929884.4
1673654400000,18.29,24.75,18.2,24.24,25997232.06
1673740800000,24.23,25.0,21.98,22.89,11258028.55
1673827200000,22.9,25.0,22.3,23.58,10043368.28
1673913600000,23.58,23.95,22.7,22.86,6056942.68
1674000000000,22.86,23.65,20.34,20.79,11341710.32
1674086400000,20.78,21.88,20.41,21.4,6113345.07
1674172800000,21.4,25.82,20.93,25.51,9652433.39
1674259200000,25.51,26.6,24.24,24.57,12782858.69
1674345600000,24.56,25.45,23.5,24.21,6496779.26
1674432000000,24.21,24.93,23.7,24.33,6100483.98
1674518400000,24.32,25.24,22.25,22.78,6121565.88
1674604800000,22.77,25.43,22.24,24.52,8332368.29
1674691200000,24.53,25.23,23.73,24.33,5450404.1
1674777600000,24.33,24.96,23.27,24.43,4729055.76
1674864000000,24.43,25.24,23.7,24.0,3377884.1
1674950400000,24.0,26.8,23.73,26.07,7785906.2
1675036800000,26.07,26.31,23.11,23.96,7532450.12
1675123200000,23.97,24.47,23.49,23.92,4062387.09
1675209600000,23.93,25.22,22.48,25.0,7304888.31
1675296000000,25.0,26.15,24.05,24.32,7246590.58
1675382400000,24.32,25.07,24.01,24.69,4759274.31
1675468800000,24.69,24.95,24.17,24.34,2034159.41
1675555200000,24.34,24.46,23.02,23.47,4822304.59
1675641600000,23.46,23.72,22.45,22.66,3592829.38
1675728000000,22.65,23.96,22.54,23.82,4900023.85
1675814400000,23.82,24.24,22.8,23.22,3970029.14
1675900800000,23.21,23.35,20.0,20.48,6398790.64
1675987200000,20.48,21.2,19.68,20.11,5523024.53
